country,club,city,year,trainer,points
Англия,Челси,Лондон,2020,Энцо Мареска,48
Испания,Атлетико,Мадрид,2019,Диего Симеоне,8
Германия,Бавария,Мюнхен,2005,Венсан Компани,30
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,1
Испания,Реал Мадрид,Мадрид,2001,Карло Анчелотти,66
Италия,Интер,Милан,2010, Симоне Индзаги,10
Россия,Спартак,Москва,2014,Деян Станкович,74
Испания,Барселона,Барселона,2020,Ханс‑Дитер Флик,10
Италия,Ювентус,Турин,2009,Игор Тудор,19
Испания,Барселона,Барселона,2022,Ханс‑Дитер Флик,4
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,95
Россия,Зенит,Санкт-Петербург,2017,Семак Сергей Богданович,41
Испания,Барселона,Барселона,2025,Ханс‑Дитер Флик,34
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,93
Россия,Зенит,Санкт-Петербург,2009,Семак Сергей Богданович,76
Англия,Манчестер Сити,Манчестер,2003,Пеп Гвардиола,95
Англия,Челси,Лондон,2016,Энцо Мареска,83
Германия,Боруссия,Дортмунд,2011,Нико Ковач,93
Испания,Атлетико,Мадрид,2008,Диего Симеоне,9
Италия,Ювентус,Турин,2003,Игор Тудор,15
Италия,Интер,Милан,2011, Симоне Индзаги,49
Италия,Милан,Милан,2002,Сержиу Консейсан,94
Англия,Манчестер Сити,Манчестер,2001,Пеп Гвардиола,18
Россия,Зенит,Санкт-Петербург,2000,Семак Сергей Богданович,19
Италия,Интер,Милан,2000, Симоне Индзаги,73
Англия,Арсенал,Лондон,2014,Микель Артета,16
Германия,Боруссия,Дортмунд,2001,Нико Ковач,98
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,51
Германия,Боруссия,Дортмунд,2012,Нико Ковач,12
Италия,Интер,Милан,2022, Симоне Индзаги,15
Германия,Боруссия,Дортмунд,2021,Нико Ковач,52
Англия,Манчестер Сити,Манчестер,2023,Пеп Гвардиола,9
Англия,Манчестер Сити,Манчестер,2025,Пеп Гвардиола,91
Россия,Спартак,Москва,2021,Деян Станкович,96
Германия,Боруссия,Дортмунд,2017,Нико Ковач,64
Англия,Челси,Лондон,2019,Энцо Мареска,30
Италия,Милан,Милан,2024,Сержиу Консейсан,16
Германия,Лейпциг,Лейпциг,2004,Жолт Лев,44
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,28
Россия,ЦСКА,Москва,2000,Марко Николич,5
Италия,Ювентус,Турин,2020,Игор Тудор,89
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,64
Испания,Реал Мадрид,Мадрид,2005,Карло Анчелотти,99
Германия,Боруссия,Дортмунд,2006,Нико Ковач,83
Италия,Милан,Милан,2002,Сержиу Консейсан,78
Испания,Барселона,Барселона,2007,Ханс‑Дитер Флик,17
Россия,Зенит,Санкт-Петербург,2018,Семак Сергей Богданович,100
Англия,Челси,Лондон,2017,Энцо Мареска,65
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,51
Испания,Атлетико,Мадрид,2020,Диего Симеоне,39
Италия,Интер,Милан,2006, Симоне Индзаги,23
Россия,Зенит,Санкт-Петербург,2004,Семак Сергей Богданович,44
Англия,Челси,Лондон,2014,Энцо Мареска,17
Германия,Боруссия,Дортмунд,2018,Нико Ковач,72
Италия,Интер,Милан,2002, Симоне Индзаги,0
Германия,Лейпциг,Лейпциг,2022,Жолт Лев,86
Англия,Арсенал,Лондон,2013,Микель Артета,23
Испания,Атлетико,Мадрид,2007,Диего Симеоне,46
Россия,ЦСКА,Москва,2023,Марко Николич,54
Россия,Зенит,Санкт-Петербург,2000,Семак Сергей Богданович,91
Испания,Атлетико,Мадрид,2012,Диего Симеоне,95
Италия,Ювентус,Турин,2012,Игор Тудор,14
Англия,Арсенал,Лондон,2019,Микель Артета,72
Германия,Лейпциг,Лейпциг,2025,Жолт Лев,22
Италия,Ювентус,Турин,2010,Игор Тудор,92
Германия,Лейпциг,Лейпциг,2013,Жолт Лев,32
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,49
Германия,Бавария,Мюнхен,2010,Венсан Компани,23
Италия,Интер,Милан,2010, Симоне Индзаги,45
Англия,Манчестер Сити,Манчестер,2025,Пеп Гвардиола,41
Германия,Бавария,Мюнхен,2015,Венсан Компани,9
Англия,Челси,Лондон,2008,Энцо Мареска,85
Италия,Милан,Милан,2025,Сержиу Консейсан,69
Италия,Милан,Милан,2012,Сержиу Консейсан,23
Италия,Ювентус,Турин,2022,Игор Тудор,27
Англия,Челси,Лондон,2024,Энцо Мареска,22
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,4
Россия,ЦСКА,Москва,2012,Марко Николич,64
Испания,Атлетико,Мадрид,2005,Диего Симеоне,43
Италия,Ювентус,Турин,2022,Игор Тудор,82
Италия,Интер,Милан,2011, Симоне Индзаги,42
Италия,Интер,Милан,2001, Симоне Индзаги,97
Россия,Зенит,Санкт-Петербург,2019,Семак Сергей Богданович,29
Англия,Челси,Лондон,2001,Энцо Мареска,61
Германия,Бавария,Мюнхен,2011,Венсан Компани,85
Италия,Интер,Милан,2012, Симоне Индзаги,91
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,66
Германия,Бавария,Мюнхен,2019,Венсан Компани,60
Испания,Барселона,Барселона,2015,Ханс‑Дитер Флик,98
Италия,Ювентус,Турин,2025,Игор Тудор,76
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,79
Германия,Бавария,Мюнхен,2023,Венсан Компани,78
Россия,Спартак,Москва,2014,Деян Станкович,46
Россия,Спартак,Москва,2001,Деян Станкович,11
Италия,Интер,Милан,2005, Симоне Индзаги,61
Англия,Манчестер Сити,Манчестер,2019,Пеп Гвардиола,86
Испания,Атлетико,Мадрид,2024,Диего Симеоне,34
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,60
Англия,Арсенал,Лондон,2002,Микель Артета,50
Германия,Бавария,Мюнхен,2000,Венсан Компани,65
Италия,Интер,Милан,2019, Симоне Индзаги,5
Испания,Атлетико,Мадрид,2024,Диего Симеоне,60
Германия,Бавария,Мюнхен,2011,Венсан Компани,96
Россия,Спартак,Москва,2007,Деян Станкович,5
Англия,Арсенал,Лондон,2011,Микель Артета,55
Англия,Арсенал,Лондон,2009,Микель Артета,55
Германия,Лейпциг,Лейпциг,2013,Жолт Лев,54
Россия,Зенит,Санкт-Петербург,2014,Семак Сергей Богданович,54
Россия,Зенит,Санкт-Петербург,2005,Семак Сергей Богданович,33
Германия,Лейпциг,Лейпциг,2020,Жолт Лев,81
Германия,Бавария,Мюнхен,2025,Венсан Компани,9
Россия,ЦСКА,Москва,2010,Марко Николич,29
Италия,Милан,Милан,2006,Сержиу Консейсан,50
Германия,Лейпциг,Лейпциг,2020,Жолт Лев,100
Италия,Интер,Милан,2007, Симоне Индзаги,95
Испания,Барселона,Барселона,2017,Ханс‑Дитер Флик,9
Италия,Ювентус,Турин,2023,Игор Тудор,89
Германия,Боруссия,Дортмунд,2016,Нико Ковач,70
Италия,Интер,Милан,2002, Симоне Индзаги,30
Италия,Милан,Милан,2022,Сержиу Консейсан,12
Испания,Барселона,Барселона,2016,Ханс‑Дитер Флик,10
Италия,Ювентус,Турин,2005,Игор Тудор,55
Германия,Лейпциг,Лейпциг,2018,Жолт Лев,85
Германия,Бавария,Мюнхен,2003,Венсан Компани,72
Россия,ЦСКА,Москва,2004,Марко Николич,87
Италия,Интер,Милан,2000, Симоне Индзаги,83
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,31
Германия,Бавария,Мюнхен,2022,Венсан Компани,18
Испания,Атлетико,Мадрид,2000,Диего Симеоне,78
Англия,Манчестер Сити,Манчестер,2022,Пеп Гвардиола,98
Испания,Реал Мадрид,Мадрид,2024,Карло Анчелотти,48
Германия,Бавария,Мюнхен,2007,Венсан Компани,6
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,0
Германия,Бавария,Мюнхен,2010,Венсан Компани,44
Англия,Арсенал,Лондон,2020,Микель Артета,13
Англия,Челси,Лондон,2024,Энцо Мареска,95
Испания,Барселона,Барселона,2023,Ханс‑Дитер Флик,92
Испания,Атлетико,Мадрид,2012,Диего Симеоне,54
Россия,ЦСКА,Москва,2014,Марко Николич,46
Россия,ЦСКА,Москва,2001,Марко Николич,73
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,56
Россия,ЦСКА,Москва,2021,Марко Николич,18
Германия,Бавария,Мюнхен,2006,Венсан Компани,61
Испания,Атлетико,Мадрид,2024,Диего Симеоне,11
Германия,Лейпциг,Лейпциг,2014,Жолт Лев,26
Италия,Интер,Милан,2007, Симоне Индзаги,19
Испания,Атлетико,Мадрид,2015,Диего Симеоне,69
Англия,Арсенал,Лондон,2002,Микель Артета,40
Россия,Спартак,Москва,2015,Деян Станкович,27
Россия,Зенит,Санкт-Петербург,2003,Семак Сергей Богданович,34
Италия,Интер,Милан,2014, Симоне Индзаги,42
Италия,Милан,Милан,2015,Сержиу Консейсан,35
Испания,Барселона,Барселона,2020,Ханс‑Дитер Флик,39
Италия,Интер,Милан,2004, Симоне Индзаги,58
Германия,Лейпциг,Лейпциг,2022,Жолт Лев,5
Россия,Зенит,Санкт-Петербург,2000,Семак Сергей Богданович,5
Германия,Лейпциг,Лейпциг,2003,Жолт Лев,72
Россия,ЦСКА,Москва,2023,Марко Николич,4
Испания,Барселона,Барселона,2023,Ханс‑Дитер Флик,12
Германия,Боруссия,Дортмунд,2007,Нико Ковач,18
Италия,Интер,Милан,2019, Симоне Индзаги,5
Англия,Челси,Лондон,2004,Энцо Мареска,41
Россия,Зенит,Санкт-Петербург,2010,Семак Сергей Богданович,6
Германия,Лейпциг,Лейпциг,2012,Жолт Лев,10
Англия,Челси,Лондон,2020,Энцо Мареска,79
Германия,Лейпциг,Лейпциг,2020,Жолт Лев,64
Англия,Челси,Лондон,2019,Энцо Мареска,50
Испания,Атлетико,Мадрид,2004,Диего Симеоне,66
Италия,Ювентус,Турин,2013,Игор Тудор,77
Германия,Боруссия,Дортмунд,2013,Нико Ковач,8
Англия,Манчестер Сити,Манчестер,2012,Пеп Гвардиола,80
Германия,Боруссия,Дортмунд,2021,Нико Ковач,82
Англия,Манчестер Сити,Манчестер,2001,Пеп Гвардиола,56
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,82
Испания,Барселона,Барселона,2015,Ханс‑Дитер Флик,15
Италия,Ювентус,Турин,2007,Игор Тудор,65
Англия,Арсенал,Лондон,2022,Микель Артета,16
Испания,Атлетико,Мадрид,2019,Диего Симеоне,35
Германия,Бавария,Мюнхен,2013,Венсан Компани,62
Испания,Реал Мадрид,Мадрид,2017,Карло Анчелотти,56
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,11
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,37
Англия,Челси,Лондон,2018,Энцо Мареска,88
Испания,Атлетико,Мадрид,2012,Диего Симеоне,16
Италия,Ювентус,Турин,2014,Игор Тудор,58
Испания,Барселона,Барселона,2004,Ханс‑Дитер Флик,81
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,5
Германия,Лейпциг,Лейпциг,2024,Жолт Лев,70
Испания,Реал Мадрид,Мадрид,2005,Карло Анчелотти,78
Италия,Интер,Милан,2016, Симоне Индзаги,58
Германия,Лейпциг,Лейпциг,2017,Жолт Лев,48
Италия,Милан,Милан,2011,Сержиу Консейсан,89
Италия,Милан,Милан,2001,Сержиу Консейсан,12
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,76
Англия,Арсенал,Лондон,2004,Микель Артета,45
Италия,Интер,Милан,2006, Симоне Индзаги,16
Германия,Боруссия,Дортмунд,2021,Нико Ковач,11
Германия,Бавария,Мюнхен,2025,Венсан Компани,12
Германия,Боруссия,Дортмунд,2001,Нико Ковач,46
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,63
Германия,Боруссия,Дортмунд,2019,Нико Ковач,56
Германия,Бавария,Мюнхен,2011,Венсан Компани,64
Германия,Бавария,Мюнхен,2018,Венсан Компани,96
Германия,Бавария,Мюнхен,2015,Венсан Компани,59
Италия,Милан,Милан,2023,Сержиу Консейсан,22
Россия,Спартак,Москва,2005,Деян Станкович,64
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,88
Италия,Интер,Милан,2014, Симоне Индзаги,45
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,68
Россия,Спартак,Москва,2009,Деян Станкович,91
Россия,ЦСКА,Москва,2009,Марко Николич,1
Россия,Спартак,Москва,2025,Деян Станкович,69
Италия,Милан,Милан,2009,Сержиу Консейсан,64
Испания,Барселона,Барселона,2014,Ханс‑Дитер Флик,26
Россия,Спартак,Москва,2017,Деян Станкович,65
Италия,Ювентус,Турин,2010,Игор Тудор,15
Германия,Лейпциг,Лейпциг,2002,Жолт Лев,13
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,97
Германия,Лейпциг,Лейпциг,2023,Жолт Лев,73
Россия,ЦСКА,Москва,2001,Марко Николич,28
Италия,Ювентус,Турин,2012,Игор Тудор,91
Россия,Спартак,Москва,2025,Деян Станкович,82
Германия,Лейпциг,Лейпциг,2019,Жолт Лев,51
Германия,Боруссия,Дортмунд,2006,Нико Ковач,3
Италия,Ювентус,Турин,2021,Игор Тудор,72
Германия,Боруссия,Дортмунд,2003,Нико Ковач,9
Германия,Лейпциг,Лейпциг,2011,Жолт Лев,31
Англия,Арсенал,Лондон,2020,Микель Артета,64
Италия,Ювентус,Турин,2003,Игор Тудор,46
Россия,Спартак,Москва,2000,Деян Станкович,3
Италия,Ювентус,Турин,2009,Игор Тудор,91
Россия,Спартак,Москва,2006,Деян Станкович,97
Германия,Лейпциг,Лейпциг,2025,Жолт Лев,63
Испания,Барселона,Барселона,2012,Ханс‑Дитер Флик,7
Россия,ЦСКА,Москва,2001,Марко Николич,45
Германия,Бавария,Мюнхен,2008,Венсан Компани,6
Германия,Боруссия,Дортмунд,2020,Нико Ковач,64
Россия,Спартак,Москва,2008,Деян Станкович,12
Испания,Атлетико,Мадрид,2021,Диего Симеоне,82
Россия,ЦСКА,Москва,2011,Марко Николич,29
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,24
Испания,Барселона,Барселона,2001,Ханс‑Дитер Флик,35
Россия,ЦСКА,Москва,2008,Марко Николич,38
Россия,Зенит,Санкт-Петербург,2019,Семак Сергей Богданович,41
Италия,Интер,Милан,2005, Симоне Индзаги,57
Россия,Спартак,Москва,2018,Деян Станкович,77
Россия,Спартак,Москва,2006,Деян Станкович,69
Россия,ЦСКА,Москва,2011,Марко Николич,68
Германия,Боруссия,Дортмунд,2019,Нико Ковач,54
Италия,Милан,Милан,2002,Сержиу Консейсан,70
Испания,Атлетико,Мадрид,2002,Диего Симеоне,59
Испания,Атлетико,Мадрид,2020,Диего Симеоне,35
Англия,Арсенал,Лондон,2009,Микель Артета,69
Испания,Реал Мадрид,Мадрид,2012,Карло Анчелотти,33
Испания,Атлетико,Мадрид,2014,Диего Симеоне,6
Англия,Манчестер Сити,Манчестер,2011,Пеп Гвардиола,80
Испания,Барселона,Барселона,2007,Ханс‑Дитер Флик,20
Россия,Зенит,Санкт-Петербург,2004,Семак Сергей Богданович,45
Италия,Милан,Милан,2009,Сержиу Консейсан,41
Россия,ЦСКА,Москва,2000,Марко Николич,29
Россия,ЦСКА,Москва,2021,Марко Николич,10
Италия,Милан,Милан,2000,Сержиу Консейсан,64
Англия,Арсенал,Лондон,2009,Микель Артета,8
Италия,Ювентус,Турин,2021,Игор Тудор,50
Россия,ЦСКА,Москва,2000,Марко Николич,66
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,65
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,0
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,40
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,91
Россия,ЦСКА,Москва,2016,Марко Николич,91
Германия,Бавария,Мюнхен,2002,Венсан Компани,18
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,21
Германия,Бавария,Мюнхен,2010,Венсан Компани,94
Испания,Барселона,Барселона,2018,Ханс‑Дитер Флик,36
Англия,Арсенал,Лондон,2016,Микель Артета,16
Германия,Бавария,Мюнхен,2001,Венсан Компани,47
Россия,Зенит,Санкт-Петербург,2017,Семак Сергей Богданович,24
Англия,Челси,Лондон,2025,Энцо Мареска,24
Россия,ЦСКА,Москва,2018,Марко Николич,100
Италия,Ювентус,Турин,2021,Игор Тудор,12
Англия,Челси,Лондон,2022,Энцо Мареска,56
Испания,Атлетико,Мадрид,2012,Диего Симеоне,94
Россия,Спартак,Москва,2018,Деян Станкович,9
Италия,Ювентус,Турин,2013,Игор Тудор,12
Германия,Бавария,Мюнхен,2013,Венсан Компани,80
Германия,Бавария,Мюнхен,2001,Венсан Компани,8
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,2
Германия,Боруссия,Дортмунд,2009,Нико Ковач,78
Россия,ЦСКА,Москва,2007,Марко Николич,35
Россия,Спартак,Москва,2010,Деян Станкович,41
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,18
Англия,Манчестер Сити,Манчестер,2003,Пеп Гвардиола,33
Англия,Манчестер Сити,Манчестер,2008,Пеп Гвардиола,91
Германия,Бавария,Мюнхен,2017,Венсан Компани,52
Испания,Атлетико,Мадрид,2012,Диего Симеоне,52
Испания,Атлетико,Мадрид,2021,Диего Симеоне,92
Германия,Боруссия,Дортмунд,2002,Нико Ковач,66
Германия,Лейпциг,Лейпциг,2010,Жолт Лев,5
Англия,Арсенал,Лондон,2020,Микель Артета,79
Россия,Спартак,Москва,2022,Деян Станкович,68
Россия,ЦСКА,Москва,2012,Марко Николич,60
Россия,ЦСКА,Москва,2009,Марко Николич,85
Испания,Барселона,Барселона,2005,Ханс‑Дитер Флик,49
Германия,Лейпциг,Лейпциг,2013,Жолт Лев,21
Италия,Ювентус,Турин,2025,Игор Тудор,58
Италия,Милан,Милан,2009,Сержиу Консейсан,48
Испания,Барселона,Барселона,2011,Ханс‑Дитер Флик,36
Италия,Милан,Милан,2023,Сержиу Консейсан,77
Испания,Барселона,Барселона,2011,Ханс‑Дитер Флик,2
Италия,Интер,Милан,2013, Симоне Индзаги,82
Германия,Лейпциг,Лейпциг,2006,Жолт Лев,51
Италия,Интер,Милан,2018, Симоне Индзаги,29
Испания,Реал Мадрид,Мадрид,2017,Карло Анчелотти,90
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,50
Германия,Лейпциг,Лейпциг,2004,Жолт Лев,73
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,9
Италия,Интер,Милан,2005, Симоне Индзаги,57
Россия,Зенит,Санкт-Петербург,2009,Семак Сергей Богданович,15
Англия,Арсенал,Лондон,2011,Микель Артета,33
Германия,Лейпциг,Лейпциг,2015,Жолт Лев,32
Испания,Барселона,Барселона,2009,Ханс‑Дитер Флик,98
Италия,Милан,Милан,2024,Сержиу Консейсан,93
Италия,Ювентус,Турин,2001,Игор Тудор,21
Германия,Боруссия,Дортмунд,2022,Нико Ковач,74
Россия,Зенит,Санкт-Петербург,2004,Семак Сергей Богданович,12
Россия,ЦСКА,Москва,2010,Марко Николич,41
Россия,Зенит,Санкт-Петербург,2017,Семак Сергей Богданович,74
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,50
Россия,ЦСКА,Москва,2021,Марко Николич,64
Россия,Спартак,Москва,2007,Деян Станкович,31
Испания,Реал Мадрид,Мадрид,2012,Карло Анчелотти,96
Германия,Боруссия,Дортмунд,2004,Нико Ковач,18
Италия,Милан,Милан,2022,Сержиу Консейсан,15
Англия,Арсенал,Лондон,2015,Микель Артета,98
Испания,Атлетико,Мадрид,2005,Диего Симеоне,68
Россия,Зенит,Санкт-Петербург,2006,Семак Сергей Богданович,76
Германия,Бавария,Мюнхен,2024,Венсан Компани,78
Англия,Манчестер Сити,Манчестер,2009,Пеп Гвардиола,58
Испания,Реал Мадрид,Мадрид,2000,Карло Анчелотти,11
Англия,Манчестер Сити,Манчестер,2016,Пеп Гвардиола,52
Италия,Милан,Милан,2017,Сержиу Консейсан,58
Испания,Реал Мадрид,Мадрид,2022,Карло Анчелотти,0
Англия,Арсенал,Лондон,2018,Микель Артета,69
Россия,Спартак,Москва,2009,Деян Станкович,38
Германия,Боруссия,Дортмунд,2018,Нико Ковач,80
Германия,Бавария,Мюнхен,2004,Венсан Компани,74
Англия,Челси,Лондон,2010,Энцо Мареска,27
Англия,Арсенал,Лондон,2020,Микель Артета,87
Англия,Челси,Лондон,2012,Энцо Мареска,33
Италия,Ювентус,Турин,2002,Игор Тудор,19
Испания,Барселона,Барселона,2020,Ханс‑Дитер Флик,65
Испания,Реал Мадрид,Мадрид,2015,Карло Анчелотти,45
Испания,Атлетико,Мадрид,2005,Диего Симеоне,28
Испания,Реал Мадрид,Мадрид,2009,Карло Анчелотти,7
Россия,Спартак,Москва,2006,Деян Станкович,76
Испания,Барселона,Барселона,2016,Ханс‑Дитер Флик,93
Россия,Зенит,Санкт-Петербург,2021,Семак Сергей Богданович,73
Англия,Арсенал,Лондон,2010,Микель Артета,99
Испания,Атлетико,Мадрид,2007,Диего Симеоне,97
Италия,Интер,Милан,2021, Симоне Индзаги,88
Россия,Спартак,Москва,2012,Деян Станкович,27
Англия,Арсенал,Лондон,2001,Микель Артета,27
Италия,Милан,Милан,2019,Сержиу Консейсан,99
Англия,Арсенал,Лондон,2021,Микель Артета,6
Германия,Лейпциг,Лейпциг,2000,Жолт Лев,15
Испания,Барселона,Барселона,2021,Ханс‑Дитер Флик,64
Италия,Милан,Милан,2003,Сержиу Консейсан,30
Германия,Боруссия,Дортмунд,2009,Нико Ковач,40
Англия,Арсенал,Лондон,2004,Микель Артета,84
Испания,Барселона,Барселона,2024,Ханс‑Дитер Флик,99
Италия,Ювентус,Турин,2017,Игор Тудор,99
Германия,Лейпциг,Лейпциг,2014,Жолт Лев,46
Италия,Милан,Милан,2011,Сержиу Консейсан,34
Испания,Атлетико,Мадрид,2014,Диего Симеоне,87
Италия,Интер,Милан,2014, Симоне Индзаги,60
Англия,Арсенал,Лондон,2001,Микель Артета,30
Англия,Челси,Лондон,2000,Энцо Мареска,93
Англия,Челси,Лондон,2024,Энцо Мареска,16
Англия,Челси,Лондон,2025,Энцо Мареска,0
Италия,Милан,Милан,2023,Сержиу Консейсан,46
Англия,Челси,Лондон,2014,Энцо Мареска,15
Италия,Милан,Милан,2004,Сержиу Консейсан,100
Россия,Зенит,Санкт-Петербург,2020,Семак Сергей Богданович,16
Россия,Зенит,Санкт-Петербург,2025,Семак Сергей Богданович,86
Италия,Ювентус,Турин,2006,Игор Тудор,68
Италия,Ювентус,Турин,2007,Игор Тудор,74
Италия,Ювентус,Турин,2022,Игор Тудор,21
Англия,Манчестер Сити,Манчестер,2023,Пеп Гвардиола,26
Россия,Спартак,Москва,2021,Деян Станкович,76
Германия,Боруссия,Дортмунд,2000,Нико Ковач,7
Испания,Атлетико,Мадрид,2010,Диего Симеоне,74
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,75
Россия,Зенит,Санкт-Петербург,2023,Семак Сергей Богданович,89
Испания,Реал Мадрид,Мадрид,2025,Карло Анчелотти,76
Россия,Спартак,Москва,2022,Деян Станкович,36
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,12
Россия,Зенит,Санкт-Петербург,2013,Семак Сергей Богданович,6
Испания,Реал Мадрид,Мадрид,2020,Карло Анчелотти,90
Италия,Ювентус,Турин,2014,Игор Тудор,88
Испания,Реал Мадрид,Мадрид,2021,Карло Анчелотти,92
Россия,Зенит,Санкт-Петербург,2001,Семак Сергей Богданович,45
Англия,Челси,Лондон,2002,Энцо Мареска,87
Англия,Арсенал,Лондон,2008,Микель Артета,11
Испания,Атлетико,Мадрид,2006,Диего Симеоне,54
Россия,Зенит,Санкт-Петербург,2022,Семак Сергей Богданович,65
Россия,ЦСКА,Москва,2005,Марко Николич,65
Англия,Челси,Лондон,2005,Энцо Мареска,69
Россия,Зенит,Санкт-Петербург,2014,Семак Сергей Богданович,39
Италия,Милан,Милан,2004,Сержиу Консейсан,81
Россия,Спартак,Москва,2007,Деян Станкович,84
Италия,Милан,Милан,2014,Сержиу Консейсан,11
Германия,Бавария,Мюнхен,2001,Венсан Компани,22
Германия,Боруссия,Дортмунд,2017,Нико Ковач,14
Испания,Барселона,Барселона,2018,Ханс‑Дитер Флик,6
Италия,Милан,Милан,2021,Сержиу Консейсан,76
Россия,Спартак,Москва,2025,Деян Станкович,53
Германия,Бавария,Мюнхен,2012,Венсан Компани,26
Испания,Атлетико,Мадрид,2019,Диего Симеоне,77
Испания,Атлетико,Мадрид,2004,Диего Симеоне,34
Испания,Атлетико,Мадрид,2003,Диего Симеоне,61
Германия,Бавария,Мюнхен,2024,Венсан Компани,29
Германия,Боруссия,Дортмунд,2013,Нико Ковач,55
Англия,Арсенал,Лондон,2016,Микель Артета,17
Россия,ЦСКА,Москва,2002,Марко Николич,94
Англия,Челси,Лондон,2014,Энцо Мареска,31
Англия,Арсенал,Лондон,2023,Микель Артета,27
Германия,Боруссия,Дортмунд,2023,Нико Ковач,98
Германия,Боруссия,Дортмунд,2018,Нико Ковач,30
Италия,Интер,Милан,2001, Симоне Индзаги,97
Германия,Боруссия,Дортмунд,2020,Нико Ковач,8
Испания,Атлетико,Мадрид,2016,Диего Симеоне,60
Германия,Лейпциг,Лейпциг,2016,Жолт Лев,49
Италия,Ювентус,Турин,2011,Игор Тудор,35
Испания,Атлетико,Мадрид,2001,Диего Симеоне,13
Англия,Челси,Лондон,2002,Энцо Мареска,50
Италия,Интер,Милан,2012, Симоне Индзаги,95
Англия,Челси,Лондон,2007,Энцо Мареска,64
Россия,Спартак,Москва,2016,Деян Станкович,1
Италия,Милан,Милан,2017,Сержиу Консейсан,37
Испания,Атлетико,Мадрид,2022,Диего Симеоне,88
Германия,Лейпциг,Лейпциг,2013,Жолт Лев,23
Италия,Милан,Милан,2019,Сержиу Консейсан,85
Испания,Реал Мадрид,Мадрид,2013,Карло Анчелотти,55
Германия,Боруссия,Дортмунд,2018,Нико Ковач,5
Германия,Боруссия,Дортмунд,2011,Нико Ковач,34
Италия,Ювентус,Турин,2025,Игор Тудор,31
Англия,Арсенал,Лондон,2018,Микель Артета,37
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,87
Италия,Ювентус,Турин,2022,Игор Тудор,93
Испания,Атлетико,Мадрид,2005,Диего Симеоне,52
Германия,Боруссия,Дортмунд,2024,Нико Ковач,73
Англия,Арсенал,Лондон,2006,Микель Артета,56
Италия,Ювентус,Турин,2000,Игор Тудор,98
Испания,Реал Мадрид,Мадрид,2011,Карло Анчелотти,76
Германия,Боруссия,Дортмунд,2011,Нико Ковач,53
Испания,Барселона,Барселона,2017,Ханс‑Дитер Флик,2
Россия,Спартак,Москва,2000,Деян Станкович,31
Германия,Бавария,Мюнхен,2005,Венсан Компани,33
Испания,Атлетико,Мадрид,2006,Диего Симеоне,18
Англия,Манчестер Сити,Манчестер,2025,Пеп Гвардиола,0
Англия,Челси,Лондон,2013,Энцо Мареска,93
Испания,Реал Мадрид,Мадрид,2006,Карло Анчелотти,92
Испания,Барселона,Барселона,2001,Ханс‑Дитер Флик,30
Италия,Интер,Милан,2020, Симоне Индзаги,94
Германия,Лейпциг,Лейпциг,2004,Жолт Лев,70
Германия,Бавария,Мюнхен,2007,Венсан Компани,23
Италия,Милан,Милан,2009,Сержиу Консейсан,4
Германия,Боруссия,Дортмунд,2004,Нико Ковач,60
Испания,Реал Мадрид,Мадрид,2010,Карло Анчелотти,60
