country,club,city,year,trainer,points
Испания,Атлетико,Мадрид,2020,Диего Симеоне,12
Англия,Манчестер Сити,Манчестер,2020,Пеп Гвардиола,2
Германия,Боруссия,Дортмунд,2001,Нико Ковач,92
Испания,Барселона,Барселона,2002,Ханс‑Дитер Флик,2
Англия,Арсенал,Лондон,2011,Микель Артета,11
Англия,Челси,Лондон,2005,Энцо Мареска,88
Англия,Челси,Лондон,2008,Энцо Мареска,91
Англия,Арсенал,Лондон,2025,Микель Артета,96
Италия,Милан,Милан,2022,Сержиу Консейсан,15
Италия,Милан,Милан,2000,Сержиу Консейсан,22
Италия,Интер,Милан,2018, Симоне Индзаги,46
Испания,Реал Мадрид,Мадрид,2001,Карло Анчелотти,54
Англия,Арсенал,Лондон,2022,Микель Артета,11
Англия,Арсенал,Лондон,2014,Микель Артета,18
Англия,Манчестер Сити,Манчестер,2002,Пеп Гвардиола,84
Россия,ЦСКА,Москва,2025,Марко Николич,84
Германия,Боруссия,Дортмунд,2013,Нико Ковач,54
Россия,ЦСКА,Москва,2010,Марко Николич,55
Италия,Ювентус,Турин,2023,Игор Тудор,5
Россия,ЦСКА,Москва,2020,Марко Николич,5
Италия,Милан,Милан,2003,Сержиу Консейсан,45
Италия,Милан,Милан,2024,Сержиу Консейсан,22
Германия,Бавария,Мюнхен,2015,Венсан Компани,51
Англия,Челси,Лондон,2007,Энцо Мареска,64
Англия,Арсенал,Лондон,2017,Микель Артета,71
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,44
Россия,Спартак,Москва,2022,Деян Станкович,96
Россия,Зенит,Санкт-Петербург,2001,Семак Сергей Богданович,33
Испания,Реал Мадрид,Мадрид,2014,Карло Анчелотти,53
Англия,Манчестер Сити,Манчестер,2015,Пеп Гвардиола,63
Германия,Боруссия,Дортмунд,2011,Нико Ковач,38
Испания,Реал Мадрид,Мадрид,2002,Карло Анчелотти,29
Испания,Барселона,Барселона,2019,Ханс‑Дитер Флик,42
